"name","GP","GS","MP","YC","RC","OFF","C","CK","TT","P","INT","BLK","GMB","TKL","FS","FC","PKG","PK","G","A","SOG","S"
"Adam, CharlieAdam, C.STO",31,20,1759,6,0,0,79,57,1138,569,74,10,0,22,33,35,1,1,7,4,23,59
"Adebayor, EmmanuelAdebayor, E.TOT",21,20,1808,0,0,29,22,0,1006,564,45,2,0,13,13,26,1,2,11,4,24,44
"AdriánAdriánWHU",20,20,1800,2,0,0,0,0,751,124,34,0,0,1,5,1,0,0,0,0,0,0
"Agbonlahor, GabrielAgbonlahor, G.AST",30,29,2447,7,0,25,33,1,762,326,25,8,0,13,36,40,0,0,4,5,15,46
"Agger, DanielAgger, D.LIV",20,16,1420,0,0,0,1,0,1093,679,97,11,0,6,11,9,0,0,2,1,4,6
"Agüero, SergioAgüero, S.MCY",23,20,1539,4,0,17,27,0,803,393,24,7,0,6,21,17,0,1,17,6,43,86
"Ake, NathanAke, N.CHE",1,0,11,0,0,0,0,0,5,3,0,1,0,0,0,0,0,0,0,0,0,0
"Akpom, ChubaAkpom, C.ARS",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Albrighton, MarcAlbrighton, M.AST",19,9,966,4,0,3,96,38,575,222,45,2,0,7,16,13,0,0,0,4,7,25
"Alcaraz, AntolínAlcaraz, A.EVE",6,5,495,0,0,0,1,0,363,223,34,8,0,2,3,3,0,0,0,0,1,2
"Allen, JoeAllen, J.LIV",24,15,1438,4,0,0,12,1,1021,645,127,10,0,10,23,19,0,0,1,0,8,19
"Alonso, MarcosAlonso, M.SUN",16,16,1439,4,1,1,35,1,1173,450,168,23,0,18,24,22,0,0,0,1,7,24
"Altidore, JozyAltidore, J.SUN",31,19,1776,3,0,11,6,0,735,261,37,8,0,9,43,46,0,0,1,1,11,30
"Aluko, SoneAluko, S.HUL",17,10,935,1,0,5,20,3,480,250,26,3,0,11,28,19,0,0,1,3,6,20
"Amalfitano, MorganAmalfitano, M.WBA",28,26,2151,3,0,11,112,47,1094,509,67,13,0,24,26,33,0,0,4,3,11,26
"Amat, JordiAmat, J.SWA",17,13,1246,3,0,0,0,0,878,532,88,17,0,13,8,18,0,0,0,0,1,4
"Ameobi, SammyAmeobi, S.NCU",10,4,372,1,0,0,16,2,182,65,19,3,0,3,5,5,0,0,0,0,0,6
"Ameobi, SholaAmeobi, S.NCU",26,14,1284,0,1,10,16,1,539,240,23,1,0,9,30,30,0,0,2,0,14,35
"Amorebieta, FernandoAmorebieta, F.FUL",23,20,1846,5,1,1,8,0,1071,490,90,25,0,10,12,25,0,0,1,0,4,11
"AndersonAndersonMAN",4,2,155,0,0,1,0,0,101,66,7,1,0,0,1,4,0,0,0,0,1,2
"Anelka, NicolasAnelka, N.WBA",12,11,856,0,0,17,16,0,431,240,19,3,0,4,10,14,0,0,2,0,4,14
"Anichebe, VictorAnichebe, V.",25,11,1216,3,0,7,18,0,541,257,19,4,0,4,30,18,0,0,3,3,13,40
"Anita, VurnonAnita, V.NCU",34,28,2461,2,0,0,43,34,1590,1003,170,17,0,20,24,21,0,0,1,1,3,22
"Armero, PabloArmero, P.WHU",5,3,322,1,0,0,7,0,193,79,24,5,0,5,3,5,0,0,0,0,0,1
"Armstrong, AdamArmstrong, A.NCU",4,0,30,0,0,0,0,0,16,10,3,0,0,0,2,0,0,0,0,0,0,1
"Arnautovic, MarkoArnautovic, M.STO",30,27,2253,3,0,10,89,21,1103,554,80,9,0,15,28,29,1,1,4,7,17,71
"Arteta, MikelArteta, M.ARS",31,27,2407,3,1,0,24,4,2510,1805,278,16,0,35,37,34,2,2,2,0,4,12
"Aspas, IagoAspas, I.LIV",14,5,380,3,0,1,3,2,180,86,9,2,0,4,7,7,0,0,0,1,1,2
"Assaidi, OussamaAssaidi, O.STO",19,12,1111,1,0,13,56,11,498,230,31,4,0,5,12,7,0,0,4,0,10,20
"Azpilicueta, CésarAzpilicueta, C.CHE",29,26,2325,1,0,1,41,0,2018,892,196,39,0,20,24,30,0,0,0,0,2,5
"Ba, DembaBa, D.CHE",19,5,661,0,0,9,5,0,283,106,11,3,0,1,8,18,0,0,5,1,13,31
"Ba, El-HadjiBa, E.SUN",1,0,19,0,0,0,0,0,11,7,0,0,0,0,0,1,0,0,0,0,0,0
"Bacuna, LeandroBacuna, L.AST",35,28,2594,6,0,0,83,14,1838,667,161,28,0,28,9,42,0,0,5,1,10,36
"Baines, LeightonBaines, L.EVE",32,32,2839,6,0,10,137,103,2679,1259,153,34,0,21,56,26,3,3,5,4,5,21
"Baker, NathanBaker, N.AST",30,29,2478,6,0,1,3,0,1277,489,141,31,0,26,14,35,0,0,0,0,3,12
"Bannan, BarryBannan, B.CP",15,13,1005,1,0,1,38,37,474,235,32,10,0,8,1,7,0,0,1,1,3,13
"Bardsley, PhilBardsley, P.SUN",26,26,2248,9,0,4,60,1,1537,620,109,35,0,26,24,25,0,0,2,0,8,31
"Barkley, RossBarkley, R.EVE",34,25,2286,5,0,4,15,7,1365,787,72,10,0,14,63,25,0,0,6,0,20,80
"Barry, GarethBarry, G.EVE",32,32,2849,10,0,1,13,2,2064,1340,213,24,0,32,39,48,0,0,3,4,5,17
"Bartley, KyleBartley, K.SWA",2,1,91,0,0,0,0,0,52,30,4,1,0,4,0,5,0,0,0,0,0,0
"Bassong, SebastienBassong, S.NC",27,27,2378,1,0,3,4,0,1249,664,159,33,0,7,9,12,0,0,0,0,6,19
"Becchio, LucianoBecchio, L.NC",5,0,54,0,0,0,0,0,32,12,0,0,0,1,2,3,0,0,0,0,0,1
"Begovic, AsmirBegovic, A.STO",32,32,2880,1,0,0,0,0,1231,296,52,2,0,0,6,0,0,0,1,0,1,1
"Bellamy, CraigBellamy, C.CC",22,13,1256,3,0,7,48,30,621,343,39,8,0,7,13,8,0,0,2,1,6,18
"Ben Arfa, HatemBen Arfa, H.NCU",27,13,1303,1,0,0,56,25,820,379,40,3,0,9,25,17,1,1,3,3,13,45
"Bendtner, NicklasBendtner, N.ARS",9,1,156,0,0,4,4,0,90,51,1,3,0,0,0,2,0,0,2,0,3,6
"Bennett, ElliottBennett, E.NC",2,1,104,0,0,0,7,6,36,14,3,0,0,1,2,0,0,0,0,0,2,3
"Bennett, JoeBennett, J.AST",5,3,244,2,0,1,6,0,202,66,15,1,0,0,1,2,0,0,0,0,0,1
"Bennett, RyanBennett, R.NC",16,14,1348,6,0,0,6,0,799,379,121,16,0,14,6,10,0,0,1,0,3,6
"Bent, DarrenBent, D.FUL",24,11,1239,0,0,9,11,0,284,129,7,1,0,1,7,5,0,0,3,2,10,21
"Bentaleb, NabilBentaleb, N.TOT",15,11,1068,2,0,0,12,1,677,473,50,8,0,10,10,17,0,0,0,1,2,16
"Benteke, ChristianBenteke, C.AST",26,24,2128,4,0,26,9,0,968,347,32,9,0,8,43,47,2,4,10,2,28,69
"Berahino, SaidoBerahino, S.WBA",32,11,1405,0,0,11,27,1,695,354,42,4,0,5,15,20,1,1,5,1,17,54
"Berbatov, DimitarBerbatov, D.FUL",18,18,1568,3,0,21,11,0,644,322,24,2,0,3,14,28,2,2,4,1,18,35
"Berget, Jo IngeBerget, J.CC",1,0,11,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,1
"Bertrand, RyanBertrand, R.",17,17,1455,3,0,1,33,0,1004,412,83,13,0,16,15,19,0,0,0,0,1,2
"Boateng, DerekBoateng, D.FUL",3,2,155,2,0,0,1,0,89,37,15,0,0,5,3,5,0,0,0,0,0,0
"Bolasie, YannickBolasie, Y.CP",29,23,2038,1,1,7,98,28,975,327,69,13,0,12,25,27,0,0,0,4,14,48
"Bony, WilfriedBony, W.SWA",34,27,2472,4,0,24,8,0,1198,540,53,8,0,10,48,35,4,4,16,4,40,106
"Borini, FabioBorini, F.SUN",32,25,2143,6,0,8,21,3,871,352,71,14,0,16,61,37,3,3,7,2,24,68
"Borriello, MarcoBorriello, M.WHU",2,0,90,0,0,0,0,0,36,8,6,0,0,1,2,4,0,0,0,0,0,0
"Boruc, ArturBoruc, A.SHN",29,29,2578,0,0,0,0,0,1227,409,71,0,0,2,2,0,0,0,0,1,0,0
"Bowery, JordanBowery, J.AST",9,2,234,0,0,0,2,1,107,44,5,1,0,2,2,6,0,0,0,1,4,7
"Boyata, DedryckBoyata, D.MCY",1,1,55,0,0,0,2,0,74,51,5,2,0,1,0,2,0,0,0,0,0,1
"Boyd, GeorgeBoyd, G.HUL",29,9,1197,2,0,7,33,24,618,296,46,9,0,16,15,20,0,0,2,2,9,25
"Brady, RobbieBrady, R.HUL",16,11,890,2,0,1,28,16,431,194,33,8,0,5,16,12,2,2,3,1,4,10
"Bridcutt, LiamBridcutt, L.SUN",12,9,847,4,0,0,8,1,585,376,64,5,0,12,10,14,0,0,0,0,0,3
"Briggs, MatthewBriggs, M.FUL",2,0,87,0,0,0,0,0,61,17,4,1,0,2,1,1,0,0,0,0,0,0
"Britton, LeonBritton, L.SWA",25,23,2020,2,0,0,10,2,1470,1061,120,19,0,9,20,9,0,0,0,1,2,5
"Brown, WesBrown, W.SUN",25,24,2064,2,3,0,2,0,1305,719,158,42,0,18,17,18,0,0,0,1,1,15
"Bruce, AlexBruce, A.HUL",20,19,1594,2,0,1,4,0,786,373,100,20,0,14,2,11,0,0,0,0,2,9
"Brunt, ChrisBrunt, C.WBA",28,25,2243,7,0,6,101,69,1250,609,116,21,0,11,11,25,0,0,3,4,10,49
"Burn, DanBurn, D.FUL",9,6,605,0,0,0,0,0,325,143,17,9,0,0,1,6,0,0,0,0,0,4
"Butland, JackButland, J.STO",3,2,225,0,0,0,0,0,80,23,0,0,0,0,0,0,0,0,0,0,0,0
"Buttner, AlexanderButtner, A.MAN",8,5,497,2,0,0,26,0,369,211,23,9,0,3,8,7,0,0,0,0,0,5
"Cabaye, YohanCabaye, Y.NCU",19,17,1509,5,0,1,51,50,1105,596,91,13,0,21,14,23,0,0,7,2,24,61
"CabralCabralSUN",1,1,90,0,0,0,0,0,60,44,0,1,0,1,1,5,0,0,0,0,0,5
"Cahill, GaryCahill, G.CHE",30,29,2623,2,0,0,4,0,1772,1091,167,28,0,11,20,13,0,0,1,1,5,18
"CalaCalaCC",7,7,585,3,1,3,1,0,211,89,18,4,0,8,4,8,0,0,2,0,2,7
"Cameron, GeoffCameron, G.STO",37,37,3285,7,0,2,121,0,2099,839,192,24,0,30,21,36,0,0,2,1,2,16
"Campaña, JoséCampaña, J.CP",6,4,311,0,0,0,5,4,192,114,10,1,0,1,5,3,0,0,0,1,0,5
"Campbell, FraizerCampbell, F.CC",37,32,2773,4,0,23,17,0,845,306,43,5,0,14,60,41,0,0,6,2,20,60
"Cañas, José AlbertoCañas, J.SWA",23,19,1670,5,0,0,2,1,1271,930,92,10,0,11,17,12,0,0,0,0,0,13
"Capoue, EtienneCapoue, E.TOT",12,8,686,1,0,0,1,0,430,280,36,11,0,4,7,17,0,0,1,0,3,6
"Carrick, MichaelCarrick, M.MAN",29,26,2413,5,0,0,19,2,1944,1361,214,14,0,7,19,13,0,0,1,0,5,17
"Carroll, AndyCarroll, A.WHU",15,12,1093,0,1,5,2,0,558,199,14,3,0,9,22,31,0,0,2,4,14,49
"Cattermole, LeeCattermole, L.SUN",24,21,1757,6,1,0,5,1,1057,570,146,16,0,31,23,32,0,0,1,0,3,13
"Caulker, StevenCaulker, S.CC",38,38,3420,2,0,3,7,0,1837,955,153,73,0,6,7,8,0,0,5,0,9,33
"Cazorla, SantiCazorla, S.ARS",31,30,2597,2,0,2,91,96,2310,1511,142,20,0,9,30,14,0,0,4,8,25,75
"Cech, PetrCech, P.CHE",34,34,3060,0,0,0,0,0,1088,310,76,0,0,0,3,0,0,0,0,0,0,0
"Celustka, OndrejCelustka, O.SUN",21,14,1332,1,0,0,34,0,877,386,60,20,0,12,9,10,0,0,0,0,3,7
"Chadli, NacerChadli, N.TOT",24,15,1452,1,0,2,46,8,773,441,50,5,0,6,11,19,0,0,1,3,5,30
"Chamakh, MarouaneChamakh, M.CP",32,27,2308,9,0,12,12,0,1075,465,80,14,0,21,55,50,1,1,5,2,11,18
"Chambers, CalumChambers, C.SHN",22,18,1641,0,0,0,71,0,1461,669,112,19,0,10,10,20,0,0,0,0,1,6
"Chester, JamesChester, J.HUL",24,22,1868,0,0,0,6,0,999,517,131,19,0,15,10,14,0,0,1,0,2,10
"ChicoChicoSWA",31,30,2690,5,2,0,2,0,2392,1551,234,35,0,30,24,39,0,0,3,0,10,24
"Chiriches, VladChiriches, V.TOT",17,16,1412,1,0,0,4,0,1014,623,157,7,0,11,14,13,0,0,1,0,1,4
"Cissé, PapissCissé, P.NCU",24,15,1383,0,0,17,13,1,536,256,26,0,0,3,12,12,1,1,2,2,22,47
"Cissokho, AlyCissokho, A.LIV",15,12,1089,2,0,1,23,0,784,341,63,19,0,6,9,9,0,0,0,1,0,5
"Clark, CiaranClark, C.AST",27,23,2202,8,0,1,9,0,1317,597,136,46,0,29,15,31,0,0,0,0,1,13
"Cleverley, TomCleverley, T.MAN",22,18,1579,3,0,0,9,3,1218,871,124,9,0,7,31,16,0,0,1,0,5,15
"Clichy, GaelClichy, G.MCY",20,18,1660,1,0,0,37,0,1507,837,117,35,0,9,10,9,0,0,0,0,0,1
"Clyne, NathanielClyne, N.SHN",25,20,1861,3,0,0,51,0,1515,783,113,16,0,22,10,17,0,0,0,4,3,4
"Colback, JackColback, J.SUN",33,28,2425,6,0,1,33,0,1427,757,155,28,0,24,55,44,0,0,3,2,7,18
"Cole, AshleyCole, A.CHE",17,15,1386,1,0,1,14,0,1023,569,75,14,0,6,16,15,0,0,0,2,1,4
"Cole, CarltonCole, C.WHU",26,9,846,1,0,11,4,0,360,106,14,2,0,5,11,22,0,0,5,1,9,20
"Cole, JoeCole, J.WHU",20,6,740,2,0,9,13,11,345,168,23,7,0,7,10,12,0,0,3,0,8,17
"Cole, LarnellCole, L.FUL",1,0,10,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0
"Coleman, SeamusColeman, S.EVE",36,36,3229,3,0,2,87,0,2402,1176,154,32,0,15,31,24,0,0,6,2,12,30
"Collins, JamesCollins, J.WHU",24,22,1899,6,0,2,2,0,1104,411,120,30,0,19,7,16,0,0,1,0,2,14
"Collison, JackCollison, J.WHU",10,6,462,0,0,0,4,0,237,138,25,4,0,2,1,9,0,0,0,0,0,7
"Coloccini, FabricioColoccini, F.NCU",27,27,2405,2,0,0,8,0,1450,904,204,20,0,16,13,6,0,0,0,0,1,3
"Connolly, MatthewConnolly, M.CC",3,3,270,2,0,0,4,0,161,73,4,4,0,5,1,5,0,0,0,0,1,2
"Cork, JackCork, J.SHN",28,21,1736,5,0,1,21,1,1490,989,162,16,0,17,16,23,0,0,0,1,4,18
"Cornelius, AndreasCornelius, A.CC",8,0,107,0,0,0,0,0,58,13,1,0,0,0,2,2,0,0,0,0,1,4
"Coutinho, PhilippeCoutinho, P.LIV",33,28,2334,1,0,2,58,68,1813,1056,128,16,0,11,38,14,0,0,5,7,29,92
"Cowie, DonCowie, D.CC",18,10,960,1,0,1,15,6,412,235,30,8,0,5,5,8,0,0,0,2,1,7
"Crouch, PeterCrouch, P.STO",34,30,2643,7,0,16,5,0,1092,409,27,5,0,8,46,38,0,0,7,6,26,61
"Cuéllar, CarlosCuéllar, C.SUN",4,4,342,0,0,0,1,0,147,67,8,9,0,4,3,2,0,0,0,0,0,0
"Daehli, MatsDaehli, M.CC",13,5,626,0,0,0,4,0,320,213,23,3,0,2,6,1,0,0,1,0,2,6
"Daniels, LukeDaniels, L.WBA",1,0,12,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dann, ScottDann, S.CP",14,14,1260,4,0,0,2,0,443,167,64,17,0,4,4,6,0,0,1,0,2,4
"David LuizDavid LuizCHE",19,15,1358,6,0,0,8,0,1098,655,115,11,0,9,22,28,0,0,0,1,7,31
"David, ChrisDavid, C.FUL",1,0,67,1,0,0,6,1,39,23,1,0,0,0,2,1,0,0,1,0,2,3
"Davies, BenDavies, B.SWA",34,32,2873,3,0,0,70,23,2353,1207,178,48,0,17,24,24,0,0,2,1,3,9
"Davies, CurtisDavies, C.HUL",37,37,3326,6,0,0,5,0,1674,763,201,36,0,24,29,26,0,0,2,1,4,26
"Davis, KelvinDavis, K.SHN",2,2,180,0,0,0,0,0,74,33,1,0,0,0,0,0,0,0,0,0,0,0
"Davis, StevenDavis, S.SHN",34,28,2497,3,0,2,45,65,1995,1297,166,16,0,21,17,25,0,0,2,7,7,32
"Dawson, CraigDawson, C.WBA",12,10,950,1,0,1,13,0,450,201,56,16,0,4,5,10,0,0,0,2,0,14
"Dawson, MichaelDawson, M.TOT",32,31,2838,7,0,1,4,1,2100,1241,238,41,0,16,15,29,0,0,0,0,3,17
"De Bruyne, KevinDe Bruyne, K.CHE",3,2,132,1,0,0,3,2,106,64,7,2,0,1,0,1,0,0,0,1,1,4
"De Gea, DavidDe Gea, D.MAN",37,37,3330,1,0,0,0,0,1135,355,56,1,0,0,3,0,0,0,0,0,0,0
"De Guzmán, JonathanDe Guzmán, J.SWA",34,26,2355,1,0,8,78,110,1810,1205,80,7,0,12,35,25,0,0,4,4,19,49
"De Jong, LuukDe Jong, L.NCU",12,8,671,0,0,0,4,0,282,127,25,1,0,1,13,4,0,0,0,1,7,17
"Debuchy, MathieuDebuchy, M.NCU",29,28,2494,8,1,5,98,2,1888,690,192,27,0,32,22,39,0,0,1,3,12,36
"Defoe, JermainDefoe, J.TOT",14,3,423,1,0,3,2,0,139,58,6,1,0,0,5,6,0,0,1,0,8,20
"Dejagah, AshkanDejagah, A.FUL",22,13,1301,5,0,4,58,17,751,342,55,14,0,6,22,18,0,0,5,2,9,22
"Delaney, DamienDelaney, D.CP",37,37,3285,9,0,1,7,0,1336,452,156,41,0,27,13,28,0,0,1,1,6,14
"Delph, FabianDelph, F.AST",34,33,3003,7,0,1,40,10,1825,1042,182,26,0,31,61,32,0,0,3,2,9,36
"Dembele, MoussaDembele, M.FUL",2,1,88,0,0,2,1,0,22,11,1,0,0,0,0,0,0,0,0,0,1,3
