"name","GP","GS","MP","YC","RC","OFF","C","CK","TT","P","INT","BLK","GMB","TKL","FS","FC","PKG","PK","G","A","SOG","S"
"Aarons, RolandoAarons, R.NEW",10,3,377,1,0,0,12,0,255,99,5,2,0,21,8,9,0,0,1,1,1,2
"Abdi, AlmenAbdi, A.WAT",32,25,1984,4,0,1,42,13,1396,771,33,14,0,122,22,37,0,0,2,0,10,39
"Abraham, TammyAbraham, T.CHE",2,0,53,0,0,3,1,0,22,6,0,0,0,0,0,2,0,0,0,0,0,2
"Adam, CharlieAdam, C.STK",22,12,1042,6,1,0,26,18,803,434,16,11,0,33,25,30,0,0,1,1,4,30
"Adebayor, EmmanuelAdebayor, E.CRY",12,7,617,1,0,11,3,0,365,157,2,0,0,7,5,10,0,0,1,1,4,12
"AdriánAdriánWHU",32,32,2879,1,1,0,0,0,1215,146,23,0,0,1,2,1,0,0,0,0,0,0
"Afellay, IbrahimAfellay, I.STK",31,24,2105,3,1,2,46,29,1629,1108,24,9,0,44,36,18,0,0,2,2,7,39
"Afobe, BenikAfobe, B.BOU",15,12,936,0,0,9,5,0,375,191,4,1,0,5,9,15,0,0,4,0,5,14
"Agbonlahor, GabrielAgbonlahor, G.AVL",15,13,1036,0,0,3,15,0,359,144,5,3,0,9,13,21,0,0,1,2,6,10
"Agüero, SergioAgüero, S.MCI",30,29,2373,1,0,27,34,0,1239,591,13,3,0,36,36,20,4,5,24,2,50,118
"Ake, NathanAke, N.WAT",24,20,1874,4,1,0,42,0,1284,457,43,43,0,103,13,28,0,0,1,0,5,16
"Albrighton, MarcAlbrighton, M.LEI",38,34,2765,4,0,3,221,82,1652,632,43,22,0,86,27,22,0,0,2,6,11,41
"Alderweireld, TobyAlderweireld, T.TOT",38,38,3419,3,0,1,23,0,2700,1674,81,47,0,57,5,10,0,0,4,2,13,39
"Allen, JoeAllen, J.LIV",19,8,731,0,0,1,14,1,580,341,24,3,0,32,21,14,0,0,2,1,4,12
"Alli, DeleAlli, D.TOT",33,28,2479,7,0,6,42,3,1782,804,45,16,0,95,66,49,0,0,10,9,28,74
"Allsop, RyanAllsop, R.BOU",1,0,45,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0
"Amartey, DanielAmartey, D.LEI",5,1,102,0,0,0,1,0,91,55,1,0,0,0,0,0,0,0,0,0,1,1
